report_date,CUSTOMER_ID,bank_account_identifier,type_of_bank_account,eligible_account,bank_account_number,account_label,currency,balance,interest,blocked_account_indicator,country_of_branch_of_account,blockage_reason,explanation,bank_identifier,branch
2019-03-31,DB0BC84E4B7BF92D33A061C67C262FAFA3,0032C4E891F36FB4A9DFC0A0A19D1CDD,REK-SPAAR,DGS,FC6AB8EB81BC0CE85FBB9857,GOUDEN KLAVER,EUR,3136568,8056,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,DC2BF9500E7612AD014AB0981C1F6531EC,003C0F6D68203E00599767A138E2A57B,REK-SPAAR,DGS,07F9AD8DBB795C76FB713F27,GOUDEN KLAVER,EUR,7751362,5794,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,2867BFF3D074FEEEE486FE38355BEA70A1,005AF1E2AF8F905A2DAF83ABD21B9156,REK-SPAAR,DGS,B6F172650291509DCF2F0DDC,GOUDEN KLAVER,EUR,5945776,2159,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,09E2D5D58211EDDAD302EA48FDD54FD6A2,00727AF01DA7E62E1AF350CD528F42B5,REK-SPAAR,DGS,EB0455224B7AE4EDE9531F4E,GOUDEN KLAVER,EUR,7024096,8089,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,288DBB9E65E3662B53F691B01F031B79BC,007316E5DCB775EDB08546785D97C817,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,7854348,9957,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,372B97E572726F532EC224077F5F856508,0073DFBE9F7E1FEEBC27FBD69A314F34,REK-SPAAR,DGS,2BFD5749CD97D93449D10191,GOUDEN KLAVER,EUR,5608791,4770,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,288AF1A683CC00DFFF52A5FCB82E2F0706,00B7DF53023FA9832A54FA5194497DDC,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,4883487,7041,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,8A601F939BFF3D1482D8B5A540782D9DD9,00CDD84D197C7580F6BA17F6F58F27CD,REK-SPAAR,DGS,AF4DFEF6AD2698B893134C9B,GOUDEN KLAVER,EUR,4055128,1088,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,2F8F5DBB7AB92C00FB0F861A3A0D82D823,00D8EEA37C659B2147179189F3C0EFAC,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,8110941,7334,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
2019-03-31,C642E009FBAEF6ACB8D076D8759B8D873C,00DDDB84C9476EF2C4FAF3CD99937559,REK-TERMIJNDEP,DGS,NULL,DEPOSITS CONSUMER BANKING,EUR,4632381,6159,non_blocked_bank_account,DE,NULL,NULL,DBA4,DE
